City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
200,Nikolskoye,59.7,30.79,33.8,96,75,4.47,RU,broken clouds,0.0,0.0,2020-02-20 22:48:22
201,Farafangana,-22.82,47.83,79.36,80,68,21.12,MG,light rain,2.31,0.0,2020-02-20 22:48:23
202,Amarante Do Maranhao,-5.57,-46.74,70.27,99,100,2.86,BR,moderate rain,4.19,0.0,2020-02-20 22:48:23
203,Asmara,15.33,38.93,60.08,86,70,2.44,ER,broken clouds,0.0,0.0,2020-02-20 22:48:24
204,Sayyan,15.17,44.32,54.41,48,31,2.42,YE,scattered clouds,0.0,0.0,2020-02-20 22:48:24
205,Dunedin,-45.87,170.5,67.93,61,99,11.63,NZ,overcast clouds,0.0,0.0,2020-02-20 22:48:25
206,Cabedelo,-6.98,-34.83,77.0,94,75,2.24,BR,broken clouds,1.13,0.0,2020-02-20 22:48:25
207,Rio Grande,-32.03,-52.1,71.6,60,75,16.11,BR,broken clouds,0.0,0.0,2020-02-20 22:48:26
208,Snasa,64.25,12.38,29.07,98,100,8.79,NO,snow,0.0,4.44,2020-02-20 22:48:26
209,Sangar,63.92,127.47,-11.85,95,100,14.45,RU,light snow,0.0,0.63,2020-02-20 22:48:27
210,Jacareacanga,-6.22,-57.75,75.36,96,100,0.72,BR,light rain,1.25,0.0,2020-02-20 22:48:27
211,Lorengau,-2.02,147.27,83.52,75,78,11.03,PG,light rain,0.38,0.0,2020-02-20 22:48:28
212,Ostrovnoy,68.05,39.51,15.03,82,97,25.88,RU,overcast clouds,0.0,0.0,2020-02-20 22:48:28
213,Kalmunai,7.42,81.82,81.45,81,5,17.34,LK,light rain,1.06,0.0,2020-02-20 22:48:29
214,Ekhabi,53.51,142.97,0.88,88,81,9.98,RU,broken clouds,0.0,0.0,2020-02-20 22:48:29
215,Langsa,4.47,97.97,72.77,86,6,3.15,ID,clear sky,0.0,0.0,2020-02-20 22:45:20
216,Nove Mesto Nad Metuji,50.34,16.15,45.0,65,90,9.17,CZ,overcast clouds,0.0,0.0,2020-02-20 22:48:30
217,Shenkursk,62.11,42.9,18.48,95,2,0.56,RU,clear sky,0.0,0.0,2020-02-20 22:48:31
218,Mangla,31.89,72.38,55.09,66,3,7.54,PK,clear sky,0.0,0.0,2020-02-20 22:48:31
219,Overyata,58.09,55.87,33.8,96,90,8.95,RU,light snow,0.0,0.31,2020-02-20 22:48:32
220,Vila Franca Do Campo,37.72,-25.43,53.6,66,40,8.05,PT,scattered clouds,0.0,0.0,2020-02-20 22:48:32
221,Pisco,-13.7,-76.22,72.0,30,75,19.46,PE,broken clouds,0.0,0.0,2020-02-20 22:48:33
222,Clyde River,70.47,-68.59,-14.8,75,40,13.87,CA,scattered clouds,0.0,0.0,2020-02-20 22:48:33
223,Summerside,46.4,-63.79,6.8,46,20,4.7,CA,few clouds,0.0,0.0,2020-02-20 22:44:45
224,Buritis,-15.62,-46.42,70.07,89,99,3.11,BR,light rain,1.63,0.0,2020-02-20 22:48:34
225,Toamasina,-18.17,49.38,78.8,94,40,5.21,MG,shower rain,1.75,0.0,2020-02-20 22:48:35
226,Saravan,39.72,45.65,35.6,93,90,4.7,AM,mist,0.0,0.0,2020-02-20 22:48:36
